City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,ostrovnoy,68.0531,39.5131,-12.69,91,100,3.2,RU,1678033381
326,nouadhibou,20.931,-17.0347,24.99,53,9,7.2,MR,1678033381
327,saint anthony,45.0205,-93.218,1.17,73,75,4.12,US,1678033381
328,nioro,13.35,-15.75,39.68,10,37,1.18,GM,1678033381
329,narsaq,60.9167,-46.05,11.12,81,79,2.9,GL,1678033381
330,cayenne,4.9333,-52.3333,30.02,70,75,7.72,GF,1678033381
331,lloydminster,53.2835,-110.0016,-21.88,77,75,2.57,CA,1678033381
332,port-gentil,-0.7193,8.7815,29.98,74,40,7.72,GA,1678033382
333,tramandai,-29.9847,-50.1336,24.54,85,58,5.27,BR,1678033382
334,sorland,67.667,12.6934,-2.08,61,100,10.36,NO,1678033382
335,gay,51.4666,58.4552,1.29,87,98,9.64,RU,1678033382
336,sarkikaraagac,38.0794,31.3664,7.84,70,100,6.6,TR,1678033382
337,simoes,-7.5989,-40.8178,35.63,29,28,3.2,BR,1678033382
338,carndonagh,55.25,-7.2667,9.03,86,95,3.03,IE,1678033382
339,hirara,24.8,125.2833,18.68,52,1,6.42,JP,1678033382
340,galesong,-5.3166,119.3661,24.01,85,100,3.6,ID,1678033382
341,kaeo,-35.1,173.7833,13.51,92,18,2.2,NZ,1678033383
342,poum,-20.2333,164.0167,25.66,81,82,4.85,NC,1678033383
343,general roca,-39.0333,-67.5833,35.35,20,0,4.29,AR,1678033383
344,concepcion,-36.827,-73.0498,22.89,43,0,4.12,CL,1678033328
345,burnie,-41.0667,145.9167,16.92,99,100,5.2,AU,1678033383
346,pangody,65.85,74.4859,-28.09,100,78,2.82,RU,1678033383
347,port lincoln,-34.7333,135.8667,15.92,76,0,4.03,AU,1678033383
348,gizo,-8.103,156.8419,26.73,78,91,3.13,SB,1678033383
349,amarkantak,22.6667,81.75,20.11,27,47,1.93,IN,1678033383
350,hobyo,5.3505,48.5268,26.1,79,9,8.0,SO,1678033384
351,sohag,26.557,31.6948,31.53,9,12,3.69,EG,1678033146
352,chuy,-33.6971,-53.4616,27.28,57,41,4.23,UY,1678033384
353,sola,-13.8833,167.55,26.24,81,100,12.59,VU,1678033384
354,surin,14.8818,103.4936,26.63,73,0,5.77,TH,1678033384
355,gilgit,35.9221,74.3087,5.06,67,15,1.61,PK,1678033384
356,bulancak,40.9372,38.2291,9.9,93,75,1.54,TR,1678033247
357,husavik,66.0449,-17.3389,-2.85,71,100,3.8,IS,1678033384
358,boyolangu,-8.1181,111.8935,24.01,88,100,1.23,ID,1678033384
359,groton,41.3501,-72.0784,8.17,55,20,6.69,US,1678033384
360,alihe,50.5667,123.7167,-5.29,82,5,2.18,CN,1678033385
361,aykhal,66.0,111.5,-23.71,99,100,4.15,RU,1678033385
362,hunterville,-39.9333,175.5667,11.5,97,100,3.39,NZ,1678033385
363,piacabucu,-10.4056,-36.4344,31.08,51,2,6.05,BR,1678033385
364,narasannapeta,18.4167,84.05,23.85,66,0,2.63,IN,1678033385
